kpts, pt, std, mean
32, 0.07154, 17.278, 80.661
75, 0.07597, 29.499, 86.101
88, 0.07813, 32.422, 87.962
261, 0.12894, 40.330, 96.585
249, 0.12737, 37.782, 94.817
183, 0.10374, 29.899, 81.526
135, 0.09210, 27.190, 82.833
152, 0.09533, 29.338, 86.787
157, 0.09918, 24.505, 85.473
95, 0.07833, 13.979, 75.842
96, 0.07678, 18.730, 73.936
59, 0.06702, 24.553, 74.916
49, 0.06260, 22.857, 74.464
59, 0.06535, 22.975, 74.764
55, 0.06578, 22.820, 74.930
42, 0.06349, 24.078, 76.250
49, 0.06525, 23.942, 77.638
45, 0.06341, 24.035, 77.737
39, 0.06255, 19.892, 76.775
70, 0.06988, 15.306, 74.361
55, 0.06664, 12.884, 71.945
53, 0.06674, 13.084, 71.881
70, 0.06937, 14.070, 71.346
36, 0.05940, 9.292, 68.471
23, 0.05601, 8.531, 68.571
47, 0.06546, 8.285, 68.739
29, 0.06010, 8.733, 71.964
23, 0.05674, 9.067, 69.728
29, 0.05775, 9.021, 68.528
58, 0.06525, 11.093, 70.073
116, 0.08467, 20.356, 77.502
206, 0.10869, 25.252, 84.249
182, 0.10459, 26.956, 86.099
263, 0.12649, 30.444, 89.783
255, 0.12348, 33.433, 92.991
303, 0.13949, 34.772, 96.964
441, 0.18002, 31.712, 98.015
464, 0.18722, 31.299, 96.938
416, 0.17643, 30.110, 96.289
246, 0.12513, 26.606, 87.598
177, 0.10167, 22.167, 82.673
133, 0.09399, 18.753, 80.030
59, 0.06758, 12.755, 74.997
27, 0.05693, 12.101, 75.059
17, 0.05577, 11.446, 75.441
28, 0.05909, 12.733, 76.260
52, 0.06566, 12.550, 74.329
15, 0.05496, 10.912, 73.602
13, 0.05410, 12.317, 76.257
31, 0.06110, 15.407, 80.166
92, 0.07881, 20.665, 84.395
127, 0.09156, 26.088, 89.519
184, 0.10493, 25.660, 90.009
158, 0.09677, 24.464, 88.272
162, 0.09769, 24.374, 87.102
154, 0.09722, 23.249, 85.090
3, 0.05003, 9.065, 71.808
5, 0.05107, 9.589, 72.442
8, 0.05310, 10.868, 77.979
1, 0.05088, 11.329, 77.678
2, 0.05061, 10.977, 76.651
1, 0.05032, 10.397, 75.822
5, 0.05128, 11.258, 75.825
17, 0.05510, 10.936, 74.662
10, 0.05330, 11.293, 79.937
16, 0.05560, 11.425, 78.623
16, 0.05558, 10.671, 76.059
10, 0.05214, 10.878, 75.161
27, 0.05795, 10.833, 74.568
31, 0.06162, 10.787, 80.545
33, 0.06153, 11.536, 80.726
13, 0.05532, 11.632, 78.598
6, 0.05100, 11.649, 76.192
82, 0.07357, 19.301, 77.733
93, 0.07716, 20.450, 79.154
124, 0.08567, 16.541, 79.505
104, 0.07879, 23.551, 82.975
191, 0.10735, 28.380, 83.783
171, 0.10171, 27.346, 83.404
127, 0.08646, 21.245, 80.019
126, 0.08618, 17.736, 77.488
188, 0.10602, 29.908, 87.980
230, 0.11928, 28.551, 88.150
184, 0.10427, 22.879, 85.705
135, 0.08924, 17.989, 78.593
99, 0.07612, 15.798, 79.556
75, 0.07179, 16.842, 80.633
63, 0.06905, 17.558, 81.142
28, 0.05921, 18.641, 82.953
304, 0.14531, 30.730, 105.930
306, 0.14837, 29.583, 95.902
226, 0.12110, 26.855, 89.768
200, 0.11201, 23.543, 87.811
44, 0.06349, 12.035, 80.093
3, 0.05140, 10.670, 78.263
8, 0.05310, 10.877, 77.693
3, 0.05089, 10.860, 77.193
14, 0.05301, 10.859, 75.266
3, 0.04885, 9.859, 74.348
13, 0.05228, 11.831, 76.466
3, 0.04971, 12.805, 79.257
35, 0.05984, 16.131, 85.928
47, 0.06557, 14.348, 87.463
78, 0.07648, 18.867, 88.671
327, 0.14993, 36.791, 99.254
266, 0.13701, 30.029, 92.888
179, 0.10543, 25.388, 88.699
186, 0.10860, 22.766, 87.277
133, 0.08954, 20.976, 85.186
94, 0.08221, 22.574, 84.334
109, 0.08377, 24.214, 85.042
120, 0.08701, 29.129, 87.597
160, 0.09563, 27.626, 84.916
201, 0.10791, 28.032, 84.520
194, 0.10906, 29.698, 85.314
168, 0.10428, 22.456, 87.521
102, 0.08561, 24.832, 91.460
83, 0.07693, 29.079, 96.263
96, 0.08428, 29.632, 97.896
194, 0.11333, 34.471, 102.212
250, 0.13168, 35.420, 102.834
262, 0.13255, 37.537, 104.325
290, 0.14112, 38.071, 105.143

